Transaction_ID,Date,Month,Year,Day_Name,Category,Subcategory,Description,Payment_Method,Bank_Account,City,Income,Expense,Balance_Type,Budget,Savings_Goal,Transaction_Type,Remarks
TX10001,2025-01-01,January,2025,Wednesday,Salary,Monthly Salary,Salary Credited,Bank Transfer,SBI,Pune,30000,0,Income,0,100000,Income,Monthly salary
TX10002,2025-01-01,January,2025,Wednesday,Transport,Petrol,Regular Transaction,Cash,SBI,Bengaluru,0,2251,Expense,4364,100000,Expense,Regular transaction
TX10003,2025-01-02,January,2025,Thursday,Food,Restaurant,Regular Transaction,Debit Card,HDFC,Delhi,0,2100,Expense,2833,100000,Expense,Regular transaction
TX10004,2025-01-03,January,2025,Friday,Food,Restaurant,Regular Transaction,UPI,SBI,Delhi,0,1760,Expense,2860,100000,Expense,Regular transaction
TX10005,2025-01-04,January,2025,Saturday,Health,Gym,Regular Transaction,Cash,PNB,Bengaluru,0,2879,Expense,5742,100000,Expense,Regular transaction
TX10006,2025-01-05,January,2025,Sunday,Shopping,Accessories,Regular Transaction,Credit Card,PNB,Mumbai,0,354,Expense,6095,100000,Expense,Regular transaction
TX10007,2025-01-06,January,2025,Monday,Bills,Mobile Recharge,Regular Transaction,Net Banking,HDFC,Jaipur,0,207,Expense,4581,100000,Expense,Regular transaction
TX10008,2025-01-07,January,2025,Tuesday,Health,Medicine,Regular Transaction,UPI,HDFC,Bengaluru,0,2817,Expense,2625,100000,Expense,Regular transaction
TX10009,2025-01-08,January,2025,Wednesday,Entertainment,Movie,Regular Transaction,Cash,SBI,Delhi,0,1623,Expense,4045,100000,Expense,Regular transaction
TX10010,2025-01-09,January,2025,Thursday,Entertainment,Gaming,Regular Transaction,Debit Card,ICICI,Bengaluru,0,2880,Expense,4216,100000,Expense,Regular transaction
TX10011,2025-01-10,January,2025,Friday,Bills,Mobile Recharge,Regular Transaction,UPI,SBI,Jaipur,0,256,Expense,5589,100000,Expense,Regular transaction
TX10012,2025-01-11,January,2025,Saturday,Entertainment,Gaming,Regular Transaction,Net Banking,PNB,Mumbai,0,2678,Expense,3704,100000,Expense,Regular transaction
TX10013,2025-01-12,January,2025,Sunday,Education,Books,Regular Transaction,Cash,PNB,Delhi,0,2512,Expense,5965,100000,Expense,Regular transaction
TX10014,2025-01-13,January,2025,Monday,Health,Gym,Regular Transaction,Credit Card,ICICI,Delhi,0,409,Expense,3141,100000,Expense,Regular transaction
TX10015,2025-01-14,January,2025,Tuesday,Transport,Bus,Regular Transaction,Credit Card,PNB,Delhi,0,2765,Expense,2224,100000,Expense,Regular transaction
TX10016,2025-01-15,January,2025,Wednesday,Transport,Bus,Regular Transaction,Debit Card,ICICI,Delhi,0,1349,Expense,5858,100000,Expense,Regular transaction
TX10017,2025-01-16,January,2025,Thursday,Transport,Petrol,Regular Transaction,Cash,ICICI,Delhi,0,780,Expense,6628,100000,Expense,Regular transaction
TX10018,2025-01-17,January,2025,Friday,Shopping,Accessories,Regular Transaction,Credit Card,HDFC,Jaipur,0,430,Expense,4219,100000,Expense,Regular transaction
TX10019,2025-01-18,January,2025,Saturday,Health,Doctor Visit,Regular Transaction,Credit Card,ICICI,Mumbai,0,853,Expense,3683,100000,Expense,Regular transaction
TX10020,2025-01-19,January,2025,Sunday,Health,Medicine,Regular Transaction,UPI,PNB,Mumbai,0,1007,Expense,4826,100000,Expense,Regular transaction
TX10021,2025-01-20,January,2025,Monday,Food,Groceries,Regular Transaction,Cash,ICICI,Delhi,0,185,Expense,6997,100000,Expense,Regular transaction
TX10022,2025-01-21,January,2025,Tuesday,Bills,Internet,Regular Transaction,Debit Card,HDFC,Jaipur,0,1180,Expense,6187,100000,Expense,Regular transaction
TX10023,2025-01-22,January,2025,Wednesday,Transport,Petrol,Regular Transaction,Cash,HDFC,Mumbai,0,1047,Expense,4978,100000,Expense,Regular transaction
TX10024,2025-01-23,January,2025,Thursday,Education,Course,Regular Transaction,Cash,PNB,Delhi,0,1996,Expense,4384,100000,Expense,Regular transaction
TX10025,2025-01-24,January,2025,Friday,Bills,Mobile Recharge,Regular Transaction,Net Banking,ICICI,Pune,0,2255,Expense,6766,100000,Expense,Regular transaction
TX10026,2025-01-25,January,2025,Saturday,Transport,Taxi,Regular Transaction,Cash,SBI,Mumbai,0,554,Expense,5911,100000,Expense,Regular transaction
TX10027,2025-01-26,January,2025,Sunday,Entertainment,Streaming,Regular Transaction,Debit Card,ICICI,Bengaluru,0,2266,Expense,5618,100000,Expense,Regular transaction
TX10028,2025-01-27,January,2025,Monday,Transport,Petrol,Regular Transaction,UPI,HDFC,Jaipur,0,721,Expense,6518,100000,Expense,Regular transaction
TX10029,2025-01-28,January,2025,Tuesday,Health,Doctor Visit,Regular Transaction,UPI,ICICI,Pune,0,1266,Expense,2484,100000,Expense,Regular transaction
TX10030,2025-01-29,January,2025,Wednesday,Bills,Internet,Regular Transaction,Net Banking,PNB,Mumbai,0,580,Expense,3898,100000,Expense,Regular transaction
TX10031,2025-01-30,January,2025,Thursday,Education,Books,Regular Transaction,Debit Card,SBI,Delhi,0,2086,Expense,2073,100000,Expense,Regular transaction
TX10032,2025-01-31,January,2025,Friday,Entertainment,Gaming,Regular Transaction,Credit Card,ICICI,Delhi,0,2931,Expense,6507,100000,Expense,Regular transaction
TX10033,2025-02-01,February,2025,Saturday,Salary,Monthly Salary,Salary Credited,Bank Transfer,PNB,Bengaluru,30000,0,Income,0,100000,Income,Monthly salary
TX10034,2025-02-01,February,2025,Saturday,Transport,Bus,Regular Transaction,Credit Card,HDFC,Bengaluru,0,1116,Expense,4877,100000,Expense,Regular transaction
TX10035,2025-02-02,February,2025,Sunday,Health,Gym,Regular Transaction,Net Banking,HDFC,Bengaluru,0,1695,Expense,6742,100000,Expense,Regular transaction
TX10036,2025-02-03,February,2025,Monday,Food,Snacks,Regular Transaction,Cash,PNB,Pune,0,2217,Expense,5150,100000,Expense,Regular transaction
TX10037,2025-02-04,February,2025,Tuesday,Health,Doctor Visit,Regular Transaction,Credit Card,HDFC,Delhi,0,840,Expense,4087,100000,Expense,Regular transaction
TX10038,2025-02-05,February,2025,Wednesday,Shopping,Electronics,Regular Transaction,UPI,ICICI,Bengaluru,0,2730,Expense,2760,100000,Expense,Regular transaction
TX10039,2025-02-06,February,2025,Thursday,Entertainment,Movie,Regular Transaction,Debit Card,SBI,Delhi,0,945,Expense,5233,100000,Expense,Regular transaction
TX10040,2025-02-07,February,2025,Friday,Bills,Electricity,Regular Transaction,UPI,SBI,Pune,0,617,Expense,3201,100000,Expense,Regular transaction
TX10041,2025-02-08,February,2025,Saturday,Transport,Taxi,Regular Transaction,Debit Card,PNB,Jaipur,0,693,Expense,3269,100000,Expense,Regular transaction
TX10042,2025-02-09,February,2025,Sunday,Food,Groceries,Regular Transaction,Cash,SBI,Mumbai,0,2758,Expense,5266,100000,Expense,Regular transaction
TX10043,2025-02-10,February,2025,Monday,Health,Doctor Visit,Regular Transaction,Net Banking,PNB,Jaipur,0,1505,Expense,5586,100000,Expense,Regular transaction
TX10044,2025-02-11,February,2025,Tuesday,Shopping,Electronics,Regular Transaction,Cash,ICICI,Pune,0,617,Expense,5585,100000,Expense,Regular transaction
TX10045,2025-02-12,February,2025,Wednesday,Entertainment,Streaming,Regular Transaction,Net Banking,ICICI,Bengaluru,0,1239,Expense,2492,100000,Expense,Regular transaction
TX10046,2025-02-13,February,2025,Thursday,Food,Restaurant,Regular Transaction,UPI,HDFC,Mumbai,0,2298,Expense,5293,100000,Expense,Regular transaction
TX10047,2025-02-14,February,2025,Friday,Bills,Electricity,Regular Transaction,Debit Card,PNB,Jaipur,0,627,Expense,6975,100000,Expense,Regular transaction
TX10048,2025-02-15,February,2025,Saturday,Transport,Taxi,Regular Transaction,Net Banking,HDFC,Pune,0,1234,Expense,3639,100000,Expense,Regular transaction
TX10049,2025-02-16,February,2025,Sunday,Shopping,Clothes,Regular Transaction,Credit Card,HDFC,Bengaluru,0,414,Expense,3930,100000,Expense,Regular transaction
TX10050,2025-02-17,February,2025,Monday,Health,Doctor Visit,Regular Transaction,Cash,ICICI,Delhi,0,1046,Expense,5747,100000,Expense,Regular transaction
TX10051,2025-02-18,February,2025,Tuesday,Education,Exam Fee,Regular Transaction,UPI,ICICI,Delhi,0,490,Expense,2914,100000,Expense,Regular transaction
TX10052,2025-02-19,February,2025,Wednesday,Bills,Electricity,Regular Transaction,Debit Card,PNB,Delhi,0,1595,Expense,2994,100000,Expense,Regular transaction
TX10053,2025-02-20,February,2025,Thursday,Bills,Electricity,Regular Transaction,Debit Card,SBI,Delhi,0,1845,Expense,2960,100000,Expense,Regular transaction
TX10054,2025-02-21,February,2025,Friday,Shopping,Clothes,Regular Transaction,Cash,HDFC,Bengaluru,0,217,Expense,4288,100000,Expense,Regular transaction
TX10055,2025-02-22,February,2025,Saturday,Health,Doctor Visit,Regular Transaction,Net Banking,PNB,Mumbai,0,1433,Expense,3204,100000,Expense,Regular transaction
TX10056,2025-02-23,February,2025,Sunday,Entertainment,Streaming,Regular Transaction,UPI,ICICI,Bengaluru,0,1902,Expense,4604,100000,Expense,Regular transaction
TX10057,2025-02-24,February,2025,Monday,Bills,Mobile Recharge,Regular Transaction,UPI,ICICI,Pune,0,980,Expense,2964,100000,Expense,Regular transaction
TX10058,2025-02-25,February,2025,Tuesday,Education,Exam Fee,Regular Transaction,Debit Card,SBI,Bengaluru,0,125,Expense,3569,100000,Expense,Regular transaction
TX10059,2025-02-26,February,2025,Wednesday,Shopping,Clothes,Regular Transaction,UPI,SBI,Mumbai,0,1263,Expense,4373,100000,Expense,Regular transaction
TX10060,2025-02-27,February,2025,Thursday,Education,Course,Regular Transaction,UPI,HDFC,Pune,0,2427,Expense,4096,100000,Expense,Regular transaction
TX10061,2025-02-28,February,2025,Friday,Bills,Internet,Regular Transaction,Debit Card,ICICI,Delhi,0,2323,Expense,5617,100000,Expense,Regular transaction
TX10062,2025-03-01,March,2025,Saturday,Salary,Monthly Salary,Salary Credited,Bank Transfer,HDFC,Delhi,30000,0,Income,0,100000,Income,Monthly salary
TX10063,2025-03-01,March,2025,Saturday,Bills,Mobile Recharge,Regular Transaction,Cash,SBI,Bengaluru,0,484,Expense,6769,100000,Expense,Regular transaction
TX10064,2025-03-02,March,2025,Sunday,Shopping,Electronics,Regular Transaction,Credit Card,HDFC,Pune,0,104,Expense,4970,100000,Expense,Regular transaction
TX10065,2025-03-03,March,2025,Monday,Food,Groceries,Regular Transaction,UPI,ICICI,Mumbai,0,163,Expense,5878,100000,Expense,Regular transaction
TX10066,2025-03-04,March,2025,Tuesday,Shopping,Clothes,Regular Transaction,Net Banking,PNB,Pune,0,844,Expense,3308,100000,Expense,Regular transaction
TX10067,2025-03-05,March,2025,Wednesday,Shopping,Accessories,Regular Transaction,UPI,HDFC,Pune,0,1316,Expense,4634,100000,Expense,Regular transaction
TX10068,2025-03-06,March,2025,Thursday,Entertainment,Streaming,Regular Transaction,UPI,HDFC,Mumbai,0,1333,Expense,6811,100000,Expense,Regular transaction
TX10069,2025-03-07,March,2025,Friday,Entertainment,Gaming,Regular Transaction,Net Banking,ICICI,Bengaluru,0,2995,Expense,5603,100000,Expense,Regular transaction
TX10070,2025-03-08,March,2025,Saturday,Shopping,Clothes,Regular Transaction,Credit Card,HDFC,Pune,0,2353,Expense,3510,100000,Expense,Regular transaction
TX10071,2025-03-09,March,2025,Sunday,Entertainment,Streaming,Regular Transaction,Net Banking,HDFC,Mumbai,0,2533,Expense,6151,100000,Expense,Regular transaction
TX10072,2025-03-10,March,2025,Monday,Entertainment,Streaming,Regular Transaction,UPI,PNB,Bengaluru,0,1705,Expense,5750,100000,Expense,Regular transaction
TX10073,2025-03-11,March,2025,Tuesday,Shopping,Electronics,Regular Transaction,Cash,SBI,Delhi,0,788,Expense,3524,100000,Expense,Regular transaction
TX10074,2025-03-12,March,2025,Wednesday,Health,Medicine,Regular Transaction,Cash,SBI,Delhi,0,453,Expense,2027,100000,Expense,Regular transaction
TX10075,2025-03-13,March,2025,Thursday,Entertainment,Streaming,Regular Transaction,Cash,ICICI,Pune,0,1933,Expense,6715,100000,Expense,Regular transaction
TX10076,2025-03-14,March,2025,Friday,Health,Doctor Visit,Regular Transaction,Credit Card,PNB,Jaipur,0,2802,Expense,3519,100000,Expense,Regular transaction
TX10077,2025-03-15,March,2025,Saturday,Shopping,Electronics,Regular Transaction,Debit Card,SBI,Mumbai,0,2020,Expense,4418,100000,Expense,Regular transaction
TX10078,2025-03-16,March,2025,Sunday,Education,Exam Fee,Regular Transaction,Cash,PNB,Mumbai,0,512,Expense,6472,100000,Expense,Regular transaction
TX10079,2025-03-17,March,2025,Monday,Bills,Electricity,Regular Transaction,Credit Card,SBI,Bengaluru,0,182,Expense,5830,100000,Expense,Regular transaction
TX10080,2025-03-18,March,2025,Tuesday,Health,Doctor Visit,Regular Transaction,UPI,PNB,Mumbai,0,2175,Expense,4566,100000,Expense,Regular transaction
TX10081,2025-03-19,March,2025,Wednesday,Transport,Bus,Regular Transaction,Debit Card,HDFC,Mumbai,0,1628,Expense,5181,100000,Expense,Regular transaction
TX10082,2025-03-20,March,2025,Thursday,Education,Exam Fee,Regular Transaction,Cash,HDFC,Jaipur,0,2116,Expense,5351,100000,Expense,Regular transaction
TX10083,2025-03-21,March,2025,Friday,Transport,Petrol,Regular Transaction,Debit Card,PNB,Bengaluru,0,1889,Expense,5114,100000,Expense,Regular transaction
TX10084,2025-03-22,March,2025,Saturday,Education,Exam Fee,Regular Transaction,Cash,PNB,Mumbai,0,834,Expense,2318,100000,Expense,Regular transaction
TX10085,2025-03-23,March,2025,Sunday,Shopping,Electronics,Regular Transaction,Credit Card,SBI,Mumbai,0,1604,Expense,6678,100000,Expense,Regular transaction
TX10086,2025-03-24,March,2025,Monday,Entertainment,Gaming,Regular Transaction,Net Banking,HDFC,Bengaluru,0,1343,Expense,3675,100000,Expense,Regular transaction
TX10087,2025-03-25,March,2025,Tuesday,Shopping,Electronics,Regular Transaction,UPI,PNB,Mumbai,0,1403,Expense,4964,100000,Expense,Regular transaction
TX10088,2025-03-26,March,2025,Wednesday,Food,Groceries,Regular Transaction,Cash,ICICI,Delhi,0,2902,Expense,2532,100000,Expense,Regular transaction
TX10089,2025-03-27,March,2025,Thursday,Food,Groceries,Regular Transaction,UPI,SBI,Pune,0,609,Expense,4306,100000,Expense,Regular transaction
TX10090,2025-03-28,March,2025,Friday,Health,Doctor Visit,Regular Transaction,Debit Card,HDFC,Delhi,0,1445,Expense,4096,100000,Expense,Regular transaction
TX10091,2025-03-29,March,2025,Saturday,Shopping,Electronics,Regular Transaction,Net Banking,HDFC,Delhi,0,2595,Expense,6585,100000,Expense,Regular transaction
TX10092,2025-03-30,March,2025,Sunday,Health,Medicine,Regular Transaction,Cash,PNB,Mumbai,0,450,Expense,3732,100000,Expense,Regular transaction
TX10093,2025-03-31,March,2025,Monday,Entertainment,Movie,Regular Transaction,UPI,HDFC,Bengaluru,0,697,Expense,4629,100000,Expense,Regular transaction
TX10094,2025-04-01,April,2025,Tuesday,Salary,Monthly Salary,Salary Credited,Bank Transfer,PNB,Pune,30000,0,Income,0,100000,Income,Monthly salary
TX10095,2025-04-01,April,2025,Tuesday,Entertainment,Streaming,Regular Transaction,Debit Card,PNB,Jaipur,0,1419,Expense,3738,100000,Expense,Regular transaction
TX10096,2025-04-02,April,2025,Wednesday,Bills,Electricity,Regular Transaction,Debit Card,SBI,Delhi,0,1464,Expense,6973,100000,Expense,Regular transaction
TX10097,2025-04-03,April,2025,Thursday,Transport,Bus,Regular Transaction,Net Banking,PNB,Mumbai,0,2385,Expense,5941,100000,Expense,Regular transaction
TX10098,2025-04-04,April,2025,Friday,Bills,Internet,Regular Transaction,Credit Card,SBI,Mumbai,0,2482,Expense,4520,100000,Expense,Regular transaction
TX10099,2025-04-05,April,2025,Saturday,Entertainment,Streaming,Regular Transaction,Credit Card,ICICI,Jaipur,0,1321,Expense,3121,100000,Expense,Regular transaction
TX10100,2025-04-06,April,2025,Sunday,Transport,Taxi,Regular Transaction,Net Banking,HDFC,Pune,0,621,Expense,2849,100000,Expense,Regular transaction
TX10101,2025-04-07,April,2025,Monday,Health,Doctor Visit,Regular Transaction,Cash,ICICI,Delhi,0,197,Expense,3932,100000,Expense,Regular transaction
TX10102,2025-04-08,April,2025,Tuesday,Entertainment,Gaming,Regular Transaction,Net Banking,HDFC,Pune,0,709,Expense,6814,100000,Expense,Regular transaction
TX10103,2025-04-09,April,2025,Wednesday,Education,Books,Regular Transaction,UPI,ICICI,Bengaluru,0,1677,Expense,4606,100000,Expense,Regular transaction
TX10104,2025-04-10,April,2025,Thursday,Health,Medicine,Regular Transaction,UPI,SBI,Pune,0,204,Expense,2879,100000,Expense,Regular transaction
TX10105,2025-04-11,April,2025,Friday,Health,Gym,Regular Transaction,UPI,HDFC,Delhi,0,406,Expense,4422,100000,Expense,Regular transaction
TX10106,2025-04-12,April,2025,Saturday,Bills,Mobile Recharge,Regular Transaction,Credit Card,HDFC,Bengaluru,0,935,Expense,2921,100000,Expense,Regular transaction
TX10107,2025-04-13,April,2025,Sunday,Bills,Mobile Recharge,Regular Transaction,UPI,SBI,Mumbai,0,366,Expense,3969,100000,Expense,Regular transaction
TX10108,2025-04-14,April,2025,Monday,Entertainment,Streaming,Regular Transaction,Net Banking,SBI,Delhi,0,1646,Expense,6969,100000,Expense,Regular transaction
TX10109,2025-04-15,April,2025,Tuesday,Health,Gym,Regular Transaction,Debit Card,ICICI,Bengaluru,0,1544,Expense,5655,100000,Expense,Regular transaction
TX10110,2025-04-16,April,2025,Wednesday,Food,Snacks,Regular Transaction,Debit Card,ICICI,Mumbai,0,2022,Expense,4317,100000,Expense,Regular transaction
TX10111,2025-04-17,April,2025,Thursday,Bills,Mobile Recharge,Regular Transaction,Cash,PNB,Jaipur,0,2553,Expense,5608,100000,Expense,Regular transaction
TX10112,2025-04-18,April,2025,Friday,Food,Restaurant,Regular Transaction,Net Banking,HDFC,Pune,0,1142,Expense,5343,100000,Expense,Regular transaction
TX10113,2025-04-19,April,2025,Saturday,Shopping,Clothes,Regular Transaction,Cash,HDFC,Delhi,0,1906,Expense,3789,100000,Expense,Regular transaction
TX10114,2025-04-20,April,2025,Sunday,Shopping,Accessories,Regular Transaction,Net Banking,HDFC,Delhi,0,2168,Expense,5193,100000,Expense,Regular transaction
TX10115,2025-04-21,April,2025,Monday,Shopping,Accessories,Regular Transaction,Debit Card,SBI,Mumbai,0,1317,Expense,5096,100000,Expense,Regular transaction
TX10116,2025-04-22,April,2025,Tuesday,Transport,Petrol,Regular Transaction,Net Banking,HDFC,Pune,0,800,Expense,5205,100000,Expense,Regular transaction
TX10117,2025-04-23,April,2025,Wednesday,Bills,Electricity,Regular Transaction,UPI,SBI,Jaipur,0,2328,Expense,4520,100000,Expense,Regular transaction
TX10118,2025-04-24,April,2025,Thursday,Transport,Taxi,Regular Transaction,Cash,ICICI,Jaipur,0,1815,Expense,2894,100000,Expense,Regular transaction
TX10119,2025-04-25,April,2025,Friday,Bills,Electricity,Regular Transaction,Debit Card,HDFC,Jaipur,0,1389,Expense,2258,100000,Expense,Regular transaction
TX10120,2025-04-26,April,2025,Saturday,Bills,Internet,Regular Transaction,UPI,HDFC,Bengaluru,0,645,Expense,6868,100000,Expense,Regular transaction
TX10121,2025-04-27,April,2025,Sunday,Education,Exam Fee,Regular Transaction,Credit Card,SBI,Mumbai,0,732,Expense,5230,100000,Expense,Regular transaction
TX10122,2025-04-28,April,2025,Monday,Food,Restaurant,Regular Transaction,Debit Card,PNB,Delhi,0,1399,Expense,6244,100000,Expense,Regular transaction
TX10123,2025-04-29,April,2025,Tuesday,Food,Groceries,Regular Transaction,Net Banking,HDFC,Delhi,0,2181,Expense,2134,100000,Expense,Regular transaction
TX10124,2025-04-30,April,2025,Wednesday,Education,Course,Regular Transaction,UPI,ICICI,Delhi,0,1746,Expense,6057,100000,Expense,Regular transaction
